停留所,発時刻,着時刻
袖ケ浦バスターミナル,6:52,7:50
袖ケ浦バスターミナル,7:12,8:10
袖ケ浦バスターミナル,7:32,8:35
袖ケ浦バスターミナル,7:57,9:10
袖ケ浦バスターミナル,8:22,9:35
袖ケ浦バスターミナル,8:52,10:00
袖ケ浦バスターミナル,9:32,10:40
袖ケ浦バスターミナル,10:37,11:40
袖ケ浦バスターミナル,12:47,13:50
袖ケ浦バスターミナル,16:22,17:35
袖ケ浦バスターミナル,17:47,19:10
袖ケ浦バスターミナル,19:07,20:30
袖ケ浦バスターミナル,20:07,21:20
袖ケ浦バスターミナル,21:07,22:05
袖ケ浦バスターミナル,21:37,22:30
