停留所,発時刻,着時刻
渋谷マークシティ,6:10,7:08
渋谷マークシティ,6:50,7:48
渋谷マークシティ,7:20,8:23
渋谷マークシティ,8:15,9:18
渋谷マークシティ,10:25,11:28
渋谷マークシティ,12:25,13:28
渋谷マークシティ,14:05,15:08
渋谷マークシティ,15:45,16:48
渋谷マークシティ,16:55,17:58
渋谷マークシティ,17:55,18:58
渋谷マークシティ,18:50,19:53
渋谷マークシティ,19:50,20:48
渋谷マークシティ,21:00,21:53
